rank,citation_group,priority_score,status,date,type,title,chapter,next_action,source_note_draft,catalog_url,pdf_url
1,Verify Time and Placement,45,chronology,1993-02-15,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Telcons - Memoranda of Telephone Conversation, Release 2015-0774-M, Item 101348. Confidential. Source pages: 3 pages counted.",https://clinton.presidentiallibraries.us/items/show/101348,https://clinton.presidentiallibraries.us/files/original/b229ce8c14cc2ebdcee0053d85f5b044.pdf
2,Verify Time and Placement,45,chronology,1993-02-23,Memcon,Memorandum of Conversation - Secretary General Boutros Boutros-Ghali of the United Nations,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2016-0933-M, Item 118497. Confidential.",https://clinton.presidentiallibraries.us/items/show/118497,https://clinton.presidentiallibraries.us/files/original/0e72cac1e38b09a246280ca0629b188f.pdf
3,Verify Time and Placement,45,chronology,1993-03-17,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0774-M, Item 101349. Confidential.",https://clinton.presidentiallibraries.us/items/show/101349,https://clinton.presidentiallibraries.us/files/original/334e9c83f263373d7d46131c52da4f6e.pdf
4,Verify Time and Placement,45,chronology,1993-04-14,Memcon,Memorandum of Conversation - Vice President Gore and President Alija Izetbegovic,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Secret. Extracted from source packet PDF pages 3-7; 5 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf
5,Verify Time and Placement,45,chronology,1993-04-20,Memcon,Memorandum of Conversation - Meeting with President Vaclav Havel of the Czech Republic,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release Declassified Documents Concerning President Vaclav Havel of the Czech Republic and President Lech Walesa of Poland, Item 119030. Confidential.",https://clinton.presidentiallibraries.us/items/show/119030,
6,Verify Time and Placement,45,chronology,1993-04-20,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Telcons - Memoranda of Telephone Conversation, Release 2015-0774-M, Item 101350. Confidential. Source pages: 4 pages counted.",https://clinton.presidentiallibraries.us/items/show/101350,https://clinton.presidentiallibraries.us/files/original/5d531ef1274105f9657199a8a2a3c2ef.pdf
7,Verify Time and Placement,45,chronology,1993-04-21,Memcon,Memorandum of Conversation - Meeting with President Lech Walesa of Poland,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release Declassified Documents Concerning President Vaclav Havel of the Czech Republic and President Lech Walesa of Poland, Item 119044. Confidential.",https://clinton.presidentiallibraries.us/items/show/119044,
8,Verify Time and Placement,45,chronology,1993-04-21,Memcon,Memorandum of Conversation - President Arpad Goncz of Hungary,NATO Strategy and Enlargement,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Memcons - Memoranda of Conversation, Release 2015-0133-M, Item 101329. Confidential.",https://clinton.presidentiallibraries.us/items/show/101329,https://clinton.presidentiallibraries.us/files/original/cf38634dd5644dda387d6312d6065d67.pdf
9,Verify Time and Placement,45,chronology,1993-05-06,Telcon,Memorandum of Telephone Conversation - President Francois Mitterrand of France,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Declassified Documents, Telcons - Memoranda of Telephone Conversations, Release 2015-0774-M, Item 101351. Secret.",https://clinton.presidentiallibraries.us/items/show/101351,https://clinton.presidentiallibraries.us/files/original/3dcddfba1080842a98d3c7af6e455ee8.pdf
10,Verify Time and Placement,45,chronology,1993-09-08,Memcon,Memorandum of Conversation - President Clinton and President Alija Izetbegovic,Crisis Security Files,Verify Washington time/date line before copying citation into document sequence.,"Source: William J. Clinton Presidential Library, Clinton Digital Library, Clinton Presidential Records, Declassified Documents concerning Bosnia, Release 2011-0964-M, Item 36589. Secret. Extracted from source packet PDF pages 10-15; 6 document pages counted. Review PDF includes a packet annotation sheet.",https://clinton.presidentiallibraries.us/items/show/36589,https://clinton.presidentiallibraries.us/files/original/1e07f85597e7a0a171bbd0b1ad67cdf1.pdf
