harvest_order,gap_ids,record_id,date,source_document,title,release_label,pdf_url,manifest_excerpt,compiler_action,promoted_record_id,source_note_verified,selection_decision,notes
1,cfe,strobe-hardgap-june2024-C09000044,1996-05-08,C09000044 (June 2024),PAPER FOR MAMEDOV ON CFE,June 2024,https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000044/C09000044.pdf,The manifest says the text begins with a non-paper for DFM Mamedov on the CFE flank issue and agreed elements.,"Read PDF and extract the non-paper, agreed elements, markings, addressees, and page span.",,,,
2,cfe,strobe-hardgap-oct2024-C09000035,1996-06-10,C09000035 (October 2024),The CFE Review Conference: A Retrospective w/Attachment(s),October 2024,https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000035/C09000035.pdf,The manifest identifies this as a CFE Review Conference retrospective with attachments and handling language.,Inspect attachments and promote any dated retrospective or negotiating-summary document with source pages.,,,,
3,cfe,strobe-hardgap-feb2024-C09000026,1997-04-09,C09000026 (February 2024),CFE TREATY,February 2024,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000026/C09000026.pdf,"The manifest identifies a Kyiv telegram for Strobe Talbott, with TAGS MARR/PARM/CFE and a CFE Treaty subject.","Extract telegram metadata, TAGS, addressees, classification, and whether this is direct CFE policy evidence.",,,,
4,cfe,strobe-hardgap-july2024-C09000044,1997-04-10,C09000044 (July 2024),Checklist For GEM 4/10/97,July 2024,https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000044/C09000044.pdf,"The manifest excerpt begins, ""CFE - Need Russian Counterproposal"" in a GEM checklist.",Use as a CFE/Mamedov checklist lead; verify whether it belongs as document evidence or annotation support.,,,,
5,cfe; nato_russia,strobe-hardgap-july2024-C09000039,date pending,C09000039 (July 2024),Additional Elements on CFE for NATO-Russia Document w/Attachment(s),July 2024,https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000039/C09000039.pdf,The manifest identifies additional CFE elements for the NATO-Russia document and transparency conditions.,Verify date and attachment structure; promote if it shows CFE language in the NATO-Russia document.,,,,
6,cfe; nato_russia,strobe-hardgap-july2024-C09000043,date pending,C09000043 (July 2024),Precis of Russian-CFE Counter-Proposal,July 2024,https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000043/C09000043.pdf,The manifest identifies a precis of a Russian CFE counter-proposal for a draft framework agreement to adapt CFE.,"Verify date, author, and attachment pages; use as a priority CFE adaptation lead.",,,,
7,usnato_nac; nato_russia,strobe-hardgap-july2022-C09000060,1998-09-28,C09000060 (July 2022),"DEPUTY SECRETARY TALBOTT BRIEFING TOTHE NAC ON MOSCOW SUMMIT, THE WAY AHEAD WITH RUSIA",July 2022,https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000060/C09000060.pdf,The manifest excerpt says USNATO printed a release-in-part briefing to the NAC on the Moscow summit and the way ahead with Russia.,"Extract cable header, USNATO number, release-in-part excisions, and NAC briefing summary.",,,,
8,usnato_nac,strobe-hardgap-june2024-C09000017,1999-04-29,C09000017 (June 2024),NAC INTERVENTION 4/29/99,June 2024,https://foia.state.gov/DOCUMENTS/FOIA_L_June2024/FL-2017-13804/DOC_0C09000017/C09000017.pdf,"The manifest identifies this as a NAC intervention on April 29, 1999.",Extract intervention text and decide whether it is direct NAC decision evidence or Kosovo context.,,,,
9,usnato_nac; nato_russia,strobe-hardgap-july2022-C09000063,2000-06-08,C09000063 (July 2022),DEPUTY SECRETARY BRIEFS THE NAC ON MOSCOW SUMMIT,July 2022,https://foia.state.gov/DOCUMENTS/FOIA_L_July2022/FL-2017-13804/DOC_0C09000063/C09000063.pdf,"The manifest excerpt says USNATO 1314, EXDIS, release in part, briefing the NAC on the Moscow summit.","Extract cable metadata, release-in-part declassification, and the NAC briefing substance.",,,,
10,usnato_nac; enlargement; nato_russia,strobe-hardgap-july2024-C09000038,date pending,C09000038 (July 2024),On Course for Madrid,July 2024,https://foia.state.gov/DOCUMENTS/FOIA_L_July2024/FL-2017-13804/DOC_0C09000038/C09000038.pdf,"The manifest excerpt lays out an on-course-for-Madrid schedule with NATO-Russia, NAC, summit, ministerial, and military-committee milestones.","Verify the date and use as a Madrid/NAC planning lead, not a final chronology item until the PDF is inspected.",,,,
11,usnato_nac; nato_russia,strobe-hardgap-feb2024-C09000122,date pending,C09000122 (February 2024),ST notes on Kissinger piece,February 2024,https://foia.state.gov/DOCUMENTS/FOIA_L_Feb2024/FL-2017-13804/DOC_0C09000122/C09000122.pdf,"The manifest excerpt says NATO remains NATO, the NAC remains NAC, and Russia will be in neither.",Use as an annotation/source-control lead unless PDF review shows direct policy-drafting value.,,,,
12,cfe,strobe-hardgap-sep2022-C09000027,date pending,C09000027 (September 2022),CFE Rollout Meeting,September 2022,https://foia.state.gov/DOCUMENTS/FOIA_L_Sep2022/FL-2017-13804/DOC_0C09000027/C09000027.pdf,The manifest identifies a CFE rollout meeting and says CFE is important as the next step in Euro-security.,Verify date and attendees; promote if it explains CFE rollout decisions or interagency assignments.,,,,
13,cfe; enlargement,strobe-hardgap-mar2023-C09000060,date pending,C09000060 (March 2023),DRAFT LETTER FROM THE SECRETARY TO CENTRAL EUROPEAN COUNTERPARTS w/Attached Facsimile Transmission,March 2023,https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000060/C09000060.pdf,The manifest excerpt discusses modernizing the CFE Treaty and serious Russian engagement in Vienna.,Verify addressees and draft status; use to link CFE modernization with enlargement diplomacy.,,,,
14,cfe,strobe-hardgap-apr2023-C09000073,date pending,C09000073 (April 2023),Note from Strobe to Chris,April 2023,https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000073/C09000073.pdf,The manifest excerpt says Talbott wanted to brief Christopher on where they stood on CFE and ABM/TMD.,"Use as a CFE status lead; promote only after PDF review establishes date, context, and substance.",,,,
